sample,format,dataset,task,trans,feature,label,batch,l_pre,l_mp,l_post,stage,bn,act,drop,agg,optim,lr,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
act,PyG,CoauthorCS,node,True,,,16,3,6,1,skipconcat,True,prelu,0.6,mean,adam,0.01,199,0.2041,0.0016,659392.0,1.0086,0.126,0.9772,0.0039,,,,,,,,
act,PyG,CoauthorCS,node,True,,,16,3,6,1,skipconcat,True,relu,0.6,mean,adam,0.01,199,0.2571,0.0217,659391.0,0.9376,0.0076,0.9664,0.0069,,,,,,,,
act,PyG,CoauthorCS,node,True,,,16,3,6,1,skipconcat,True,swish,0.6,mean,adam,0.01,199,0.2289,0.0039,659391.0,0.945,0.0923,0.9725,0.0017,,,,,,,,
act,PyG,CoauthorCS,node,True,,,64,1,6,3,stack,True,prelu,0.3,add,sgd,0.001,199,1.2644,0.0289,1006352.0,0.854,0.0202,0.6594,0.0164,,,,,,,,
act,PyG,CoauthorCS,node,True,,,64,1,6,3,stack,True,relu,0.3,add,sgd,0.001,199,1.9276,0.0278,1006351.0,0.8682,0.1101,0.434,0.0075,,,,,,,,
act,PyG,CoauthorCS,node,True,,,64,1,6,3,stack,True,swish,0.3,add,sgd,0.001,199,1.7617,0.0396,1006351.0,0.877,0.0666,0.4845,0.0121,,,,,,,,
act,PyG,CoauthorPhysics,node,True,,,16,3,6,1,skipsum,True,prelu,0.0,mean,sgd,0.1,399,0.0696,0.001,1211142.0,1.943,0.2105,0.9853,0.0005,,,,,,,,
act,PyG,CoauthorPhysics,node,True,,,16,3,6,1,skipsum,True,relu,0.0,mean,sgd,0.1,399,0.0684,0.0023,1211141.0,2.05,0.1209,0.991,0.0005,,,,,,,,
act,PyG,CoauthorPhysics,node,True,,,16,3,6,1,skipsum,True,swish,0.0,mean,sgd,0.1,399,0.0524,0.0011,1211141.0,2.1236,0.1257,0.9945,0.0004,,,,,,,,
act,PyG,Cora,node,True,,,16,2,6,1,stack,True,prelu,0.3,add,sgd,0.001,99,1.8879,0.0129,330863.0,0.0369,0.0128,0.2568,0.0432,,,,,,,,
act,PyG,Cora,node,True,,,16,2,6,1,stack,True,relu,0.3,add,sgd,0.001,99,1.9152,0.0098,330862.0,0.0229,0.0016,0.2139,0.0264,,,,,,,,
act,PyG,Cora,node,True,,,16,2,6,1,stack,True,swish,0.3,add,sgd,0.001,99,1.9007,0.0186,330862.0,0.0259,0.0036,0.2271,0.0351,,,,,,,,
act,PyG,Cora,node,True,,,16,2,8,1,skipsum,True,prelu,0.3,mean,sgd,0.1,99,0.5578,0.0261,308437.0,0.0374,0.0009,0.8942,0.0083,,,,,,,,
act,PyG,Cora,node,True,,,16,2,8,1,skipsum,True,relu,0.3,mean,sgd,0.1,99,0.8542,0.0132,308436.0,0.0367,0.0059,0.8256,0.0057,,,,,,,,
act,PyG,Cora,node,True,,,16,2,8,1,skipsum,True,swish,0.3,mean,sgd,0.1,99,0.7917,0.0135,308436.0,0.049,0.0078,0.8459,0.0129,,,,,,,,
act,PyG,Cora,node,True,,,16,3,4,3,skipconcat,True,prelu,0.6,mean,adam,0.01,99,0.4776,0.0622,207560.0,0.0302,0.0014,0.854,0.0199,,,,,,,,
act,PyG,Cora,node,True,,,16,3,4,3,skipconcat,True,relu,0.6,mean,adam,0.01,99,0.9773,0.0949,207559.0,0.0535,0.0102,0.6293,0.0543,,,,,,,,
act,PyG,Cora,node,True,,,16,3,4,3,skipconcat,True,swish,0.6,mean,adam,0.01,99,0.8829,0.0566,207559.0,0.0505,0.0034,0.6808,0.0266,,,,,,,,
act,PyG,Cora,node,True,,,16,3,8,1,stack,True,prelu,0.3,mean,sgd,0.001,99,1.8915,0.0029,300388.0,0.0398,0.0034,0.246,0.0203,,,,,,,,
act,PyG,Cora,node,True,,,16,3,8,1,stack,True,relu,0.3,mean,sgd,0.001,99,1.9179,0.0032,300387.0,0.028,0.0015,0.2014,0.0069,,,,,,,,
act,PyG,Cora,node,True,,,16,3,8,1,stack,True,swish,0.3,mean,sgd,0.001,99,1.9082,0.0061,300387.0,0.0293,0.0038,0.2243,0.0099,,,,,,,,
act,PyG,Cora,node,True,,,32,1,8,1,skipsum,False,prelu,0.3,max,adam,0.001,199,0.638,0.0087,320057.0,0.0247,0.001,0.923,0.0017,,,,,,,,
act,PyG,Cora,node,True,,,32,1,8,1,skipsum,False,relu,0.3,max,adam,0.001,199,0.866,0.019,320056.0,0.0279,0.0039,0.9122,0.0045,,,,,,,,
act,PyG,Cora,node,True,,,32,1,8,1,skipsum,False,swish,0.3,max,adam,0.001,199,0.5846,0.0123,320056.0,0.0241,0.0015,0.9236,0.0031,,,,,,,,
act,PyG,Cora,node,True,,,32,3,8,1,skipsum,False,prelu,0.6,max,sgd,0.1,99,1.8356,0.0025,299123.0,0.0278,0.004,0.3043,0.0029,,,,,,,,
act,PyG,Cora,node,True,,,32,3,8,1,skipsum,False,relu,0.6,max,sgd,0.1,99,1.8353,0.0026,299122.0,0.0305,0.0068,0.3041,0.0029,,,,,,,,
act,PyG,Cora,node,True,,,32,3,8,1,skipsum,False,swish,0.6,max,sgd,0.1,99,1.8359,0.0024,299122.0,0.0251,0.0035,0.3041,0.0029,,,,,,,,
act,PyG,Cora,node,True,,,64,2,8,2,skipconcat,False,prelu,0.6,max,sgd,0.01,199,1.8409,0.001,187926.0,0.1039,0.016,0.3032,0.0031,,,,,,,,
act,PyG,Cora,node,True,,,64,2,8,2,skipconcat,False,relu,0.6,max,sgd,0.01,199,1.8407,0.0029,187925.0,0.0643,0.0127,0.303,0.003,,,,,,,,
act,PyG,Cora,node,True,,,64,2,8,2,skipconcat,False,swish,0.6,max,sgd,0.01,199,1.8332,0.0018,187925.0,0.0562,0.0016,0.3041,0.0029,,,,,,,,
act,PyG,TU_BZR,graph,False,,,16,2,6,1,skipconcat,False,prelu,0.3,max,sgd,0.1,399,0.5029,0.0163,139154.0,0.0666,0.0073,0.8045,0.0038,0.7141,0.0256,0.1656,0.0276,0.2677,0.0363,0.6313,0.0188
act,PyG,TU_BZR,graph,False,,,16,2,6,1,skipconcat,False,relu,0.3,max,sgd,0.1,399,0.513,0.008,139153.0,0.0153,0.001,0.8128,0.0063,0.7161,0.0656,0.2326,0.0129,0.3502,0.0141,0.6236,0.0178
act,PyG,TU_BZR,graph,False,,,16,2,6,1,skipconcat,False,swish,0.3,max,sgd,0.1,399,0.5107,0.0116,139153.0,0.0141,0.0016,0.8087,0.0067,0.7364,0.0987,0.1996,0.0266,0.3103,0.0248,0.6219,0.0133
act,PyG,TU_BZR,graph,False,,,16,2,8,1,stack,True,prelu,0.0,add,sgd,0.01,399,0.0021,0.0005,140725.0,0.0211,0.0024,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
act,PyG,TU_BZR,graph,False,,,16,2,8,1,stack,True,relu,0.0,add,sgd,0.01,399,0.0021,0.0002,140724.0,0.0187,0.0037,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
act,PyG,TU_BZR,graph,False,,,16,2,8,1,stack,True,swish,0.0,add,sgd,0.01,399,0.0036,0.0015,140724.0,0.0184,0.003,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
act,PyG,TU_BZR,graph,False,,,32,2,2,3,stack,True,prelu,0.0,add,sgd,0.001,99,0.154,0.0254,141914.0,0.0137,0.0015,0.9486,0.0139,0.9298,0.0344,0.8245,0.0376,0.8739,0.0354,0.9864,0.009
act,PyG,TU_BZR,graph,False,,,32,2,2,3,stack,True,relu,0.0,add,sgd,0.001,99,0.1382,0.0065,141913.0,0.036,0.0092,0.9568,0.0051,0.9472,0.0068,0.8489,0.0195,0.8952,0.0103,0.9922,0.003
act,PyG,TU_BZR,graph,False,,,32,2,2,3,stack,True,swish,0.0,add,sgd,0.001,99,0.2066,0.012,141913.0,0.0132,0.0006,0.9311,0.0077,0.9203,0.0363,0.7493,0.0167,0.8255,0.0151,0.9693,0.0059
act,PyG,TU_DD,graph,False,,,16,1,6,3,skipconcat,True,relu,0.6,add,sgd,0.1,399,0.436,0.0086,142257.0,0.0233,0.0044,0.8114,0.0033,0.7656,0.0044,0.7769,0.0087,0.7712,0.0044,0.8761,0.0055
act,PyG,TU_DD,graph,False,,,16,1,6,3,skipconcat,True,swish,0.6,add,sgd,0.1,399,0.4003,0.0057,142257.0,0.0227,0.0009,0.822,0.0044,0.7827,0.0039,0.782,0.015,0.7822,0.0079,0.8962,0.0042
act,PyG,TU_DD,graph,False,,,16,2,6,2,stack,True,prelu,0.3,max,sgd,0.001,99,0.4898,0.0052,144898.0,0.0796,0.016,0.7728,0.0045,0.7282,0.0058,0.7094,0.0122,0.7186,0.0075,0.839,0.0039
act,PyG,TU_DD,graph,False,,,16,2,6,2,stack,True,relu,0.3,max,sgd,0.001,99,0.5062,0.0101,144897.0,0.0303,0.0018,0.7689,0.0018,0.7331,0.0059,0.6842,0.001,0.7078,0.0032,0.8264,0.0079
act,PyG,TU_DD,graph,False,,,16,2,6,2,stack,True,swish,0.3,max,sgd,0.001,99,0.4973,0.0095,144897.0,0.0643,0.0003,0.7707,0.0061,0.7264,0.0024,0.7051,0.0176,0.7155,0.0097,0.835,0.0056
act,PyG,TU_DD,graph,False,,,64,1,4,1,skipsum,True,prelu,0.3,mean,sgd,0.1,199,1.9878,0.6731,149146.0,0.1294,0.0112,0.7742,0.0081,0.6869,0.0088,0.8235,0.0113,0.749,0.0096,0.8467,0.0058
act,PyG,TU_DD,graph,False,,,64,1,4,1,skipsum,True,relu,0.3,mean,sgd,0.1,199,0.8475,0.3986,149145.0,0.0657,0.0054,0.7668,0.0082,0.6903,0.0062,0.7792,0.029,0.7319,0.015,0.8356,0.0125
act,PyG,TU_DD,graph,False,,,64,1,4,1,skipsum,True,swish,0.3,mean,sgd,0.1,199,1.1355,0.109,149145.0,0.0558,0.0024,0.798,0.0056,0.7185,0.0059,0.8322,0.006,0.7711,0.0059,0.8701,0.0062
act,PyG,TU_DD,graph,False,,,64,2,4,3,skipconcat,False,prelu,0.3,max,sgd,0.001,399,0.562,0.0067,139921.0,0.0714,0.0029,0.7587,0.011,0.7378,0.0203,0.6366,0.0115,0.6834,0.0138,0.7973,0.005
act,PyG,TU_DD,graph,False,,,64,2,4,3,skipconcat,False,relu,0.3,max,sgd,0.001,399,0.546,0.0053,139920.0,0.0332,0.0048,0.742,0.0077,0.7091,0.0303,0.6316,0.0321,0.6668,0.01,0.7964,0.003
act,PyG,TU_DD,graph,False,,,64,2,4,3,skipconcat,False,swish,0.3,max,sgd,0.001,399,0.5376,0.0061,139920.0,0.042,0.001,0.759,0.0083,0.7327,0.0104,0.6471,0.0074,0.6872,0.0087,0.7957,0.0052
act,PyG,TU_DD,graph,False,,,64,3,2,2,skipconcat,False,relu,0.6,add,sgd,0.01,99,0.6765,0.001,144257.0,0.0312,0.0032,0.5909,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.4481,0.0008
act,PyG,TU_DD,graph,False,,,64,3,2,2,skipconcat,False,swish,0.6,add,sgd,0.01,99,0.6657,0.0019,144257.0,0.0301,0.0038,0.5909,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.731,0.0196
act,PyG,TU_ENZYMES,graph,False,,,16,1,8,3,skipsum,True,prelu,0.6,add,sgd,0.001,99,1.7953,0.0195,135822.0,0.0794,0.0028,0.2222,0.0112,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,16,1,8,3,skipsum,True,relu,0.6,add,sgd,0.001,99,1.7961,0.0126,135821.0,0.042,0.0045,0.2201,0.0045,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,16,1,8,3,skipsum,True,swish,0.6,add,sgd,0.001,99,1.7791,0.0155,135821.0,0.0155,0.0006,0.2285,0.0188,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,32,1,6,3,stack,True,prelu,0.3,add,adam,0.01,399,0.5724,0.0147,134535.0,0.0635,0.0007,0.7862,0.012,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,32,1,6,3,stack,True,relu,0.3,add,adam,0.01,399,0.5355,0.0332,134534.0,0.0193,0.002,0.8148,0.0197,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,32,1,6,3,stack,True,swish,0.3,add,adam,0.01,399,0.6532,0.0136,134534.0,0.0183,0.002,0.7561,0.0043,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,32,2,2,1,stack,False,prelu,0.0,mean,sgd,0.001,199,1.6575,0.011,135037.0,0.0135,0.004,0.3033,0.0094,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,32,2,2,1,stack,False,relu,0.0,mean,sgd,0.001,199,1.6627,0.0084,135036.0,0.0107,0.0024,0.3026,0.0103,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,32,2,2,1,stack,False,swish,0.0,mean,sgd,0.001,199,1.7316,0.002,135036.0,0.0103,0.0002,0.2572,0.0206,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,64,1,8,2,skipconcat,False,prelu,0.3,max,sgd,0.01,199,1.6728,0.0331,137809.0,0.0242,0.0017,0.2886,0.0316,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,64,1,8,2,skipconcat,False,relu,0.3,max,sgd,0.01,199,1.7355,0.0603,137808.0,0.0297,0.0075,0.2383,0.0596,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,64,1,8,2,skipconcat,False,swish,0.3,max,sgd,0.01,199,1.7446,0.0033,137808.0,0.0237,0.0012,0.2467,0.0114,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,64,1,8,3,skipsum,True,prelu,0.3,max,sgd,0.1,399,0.2412,0.021,135822.0,0.0363,0.0023,0.9217,0.0103,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,64,1,8,3,skipsum,True,relu,0.3,max,sgd,0.1,399,0.2486,0.0118,135821.0,0.0253,0.0015,0.9126,0.0081,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,64,1,8,3,skipsum,True,swish,0.3,max,sgd,0.1,399,0.1641,0.0126,135821.0,0.0241,0.0028,0.9462,0.0043,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,64,3,2,3,stack,False,prelu,0.3,max,sgd,0.01,199,1.7727,0.0023,135597.0,0.018,0.0023,0.1866,0.0247,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,64,3,2,3,stack,False,relu,0.3,max,sgd,0.01,199,1.7885,0.0011,135596.0,0.0165,0.0024,0.1775,0.001,,,,,,,,
act,PyG,TU_ENZYMES,graph,False,,,64,3,2,3,stack,False,swish,0.3,max,sgd,0.01,199,1.7541,0.0045,135596.0,0.0367,0.002,0.225,0.0099,,,,,,,,
act,PyG,TU_IMDB,graph,False,,,16,2,8,3,skipsum,True,prelu,0.3,add,sgd,0.1,199,1.016,0.0053,133747.0,0.0188,0.0018,0.4731,0.0048,,,,,,,,
act,PyG,TU_IMDB,graph,False,,,16,2,8,3,skipsum,True,relu,0.3,add,sgd,0.1,199,1.0374,0.0045,133746.0,0.0181,0.0019,0.4578,0.0047,,,,,,,,
act,PyG,TU_IMDB,graph,False,,,16,2,8,3,skipsum,True,swish,0.3,add,sgd,0.1,199,1.0196,0.0049,133746.0,0.02,0.0012,0.4756,0.0103,,,,,,,,
act,PyG,TU_IMDB,graph,False,,,16,3,4,2,stack,True,prelu,0.6,add,adam,0.001,99,1.058,0.0023,134127.0,0.0141,0.0004,0.4367,0.0067,,,,,,,,
act,PyG,TU_IMDB,graph,False,,,16,3,4,2,stack,True,relu,0.6,add,adam,0.001,99,1.0579,0.0039,134126.0,0.0177,0.0012,0.4364,0.017,,,,,,,,
act,PyG,TU_IMDB,graph,False,,,16,3,4,2,stack,True,swish,0.6,add,adam,0.001,99,1.0538,0.0015,134126.0,0.0189,0.0003,0.4481,0.0099,,,,,,,,
act,PyG,TU_IMDB,graph,False,,,64,2,2,2,stack,False,prelu,0.6,mean,sgd,0.001,399,1.0963,0.0006,134138.0,0.0205,0.0009,0.3431,0.0081,,,,,,,,
act,PyG,TU_IMDB,graph,False,,,64,2,2,2,stack,False,relu,0.6,mean,sgd,0.001,399,1.0971,0.001,134137.0,0.0142,0.0004,0.3458,0.013,,,,,,,,
act,PyG,TU_IMDB,graph,False,,,64,2,2,2,stack,False,swish,0.6,mean,sgd,0.001,399,1.1006,0.0022,134137.0,0.017,0.0016,0.3689,0.012,,,,,,,,
act,PyG,TU_PROTEINS,graph,False,,,64,2,2,1,skipsum,True,prelu,0.0,max,sgd,0.1,199,0.514,0.009,133553.0,0.0403,0.0035,0.7492,0.0084,0.6701,0.0131,0.7213,0.0071,0.6947,0.0094,0.8243,0.0071
act,PyG,TU_PROTEINS,graph,False,,,64,2,2,1,skipsum,True,relu,0.0,max,sgd,0.1,199,0.5101,0.0054,133552.0,0.0196,0.0039,0.7493,0.0145,0.6732,0.023,0.7126,0.0057,0.6922,0.0147,0.8253,0.0061
act,PyG,TU_PROTEINS,graph,False,,,64,2,2,1,skipsum,True,swish,0.0,max,sgd,0.1,199,0.507,0.0047,133552.0,0.0166,0.0014,0.7572,0.006,0.6913,0.008,0.6973,0.0105,0.6943,0.0092,0.8264,0.0039
act,nx,scalefree,graph,True,node_clustering_coefficient,graph_path_len,32,3,4,3,skipsum,True,prelu,0.3,mean,sgd,0.001,199,0.731,0.0314,135430.0,0.0275,0.0034,0.6471,0.0367,,,,,,,,
act,nx,scalefree,graph,True,node_clustering_coefficient,graph_path_len,32,3,4,3,skipsum,True,relu,0.3,mean,sgd,0.001,199,0.7188,0.0491,135429.0,0.0576,0.0074,0.67,0.03,,,,,,,,
act,nx,scalefree,graph,True,node_clustering_coefficient,graph_path_len,32,3,4,3,skipsum,True,swish,0.3,mean,sgd,0.001,199,0.6788,0.0274,135429.0,0.0185,0.0004,0.7092,0.0197,,,,,,,,
act,nx,scalefree,graph,True,node_clustering_coefficient,graph_path_len,64,1,4,3,stack,True,prelu,0.0,mean,adam,0.01,399,0.0828,0.0218,134070.0,0.0596,0.0034,0.982,0.0092,,,,,,,,
act,nx,scalefree,graph,True,node_clustering_coefficient,graph_path_len,64,1,4,3,stack,True,relu,0.0,mean,adam,0.01,399,0.1452,0.0223,134069.0,0.032,0.0006,0.9526,0.0061,,,,,,,,
act,nx,scalefree,graph,True,node_clustering_coefficient,graph_path_len,64,1,4,3,stack,True,swish,0.0,mean,adam,0.01,399,0.3203,0.0598,134069.0,0.0528,0.0065,0.8824,0.0289,,,,,,,,
act,nx,scalefree,graph,True,node_onehot,graph_path_len,32,1,2,1,skipconcat,True,prelu,0.0,max,adam,0.001,99,0.0213,0.0023,136454.0,0.0515,0.0087,1.0,0.0,,,,,,,,
act,nx,scalefree,graph,True,node_onehot,graph_path_len,32,1,2,1,skipconcat,True,relu,0.0,max,adam,0.001,99,0.0184,0.0018,136453.0,0.0196,0.0056,1.0,0.0,,,,,,,,
act,nx,scalefree,graph,True,node_onehot,graph_path_len,32,1,2,1,skipconcat,True,swish,0.0,max,adam,0.001,99,0.0139,0.0007,136453.0,0.0141,0.0021,1.0,0.0,,,,,,,,
act,nx,scalefree,graph,True,node_onehot,graph_path_len,32,2,2,2,skipsum,False,prelu,0.3,add,sgd,0.1,199,,,134851.0,0.0543,0.0008,0.1896,0.0101,,,,,,,,
act,nx,scalefree,graph,True,node_onehot,graph_path_len,32,2,2,2,skipsum,False,relu,0.3,add,sgd,0.1,199,1.6073,0.0014,134850.0,0.0413,0.008,0.2157,0.0069,,,,,,,,
act,nx,scalefree,graph,True,node_onehot,graph_path_len,32,2,2,2,skipsum,False,swish,0.3,add,sgd,0.1,199,1.6073,0.0013,134850.0,0.0204,0.0063,0.2157,0.0069,,,,,,,,
act,nx,scalefree,graph,True,node_onehot,graph_path_len,64,1,6,2,stack,False,prelu,0.3,mean,adam,0.001,199,0.6447,0.0636,134677.0,0.0269,0.0026,0.6814,0.0312,,,,,,,,
act,nx,scalefree,graph,True,node_onehot,graph_path_len,64,1,6,2,stack,False,relu,0.3,mean,adam,0.001,199,0.6114,0.0293,134676.0,0.039,0.0008,0.6961,0.0069,,,,,,,,
act,nx,scalefree,graph,True,node_onehot,graph_path_len,64,1,6,2,stack,False,swish,0.3,mean,adam,0.001,199,1.6037,0.0007,134676.0,0.0221,0.0051,0.2271,0.0162,,,,,,,,
act,nx,scalefree,graph,True,node_pagerank,graph_path_len,16,3,6,2,skipsum,True,prelu,0.0,mean,sgd,0.001,199,0.0836,0.0177,133926.0,0.0721,0.0079,0.9869,0.0101,,,,,,,,
act,nx,scalefree,graph,True,node_pagerank,graph_path_len,16,3,6,2,skipsum,True,relu,0.0,mean,sgd,0.001,199,0.0877,0.0107,133925.0,0.0474,0.0039,0.9853,0.0106,,,,,,,,
act,nx,scalefree,graph,True,node_pagerank,graph_path_len,16,3,6,2,skipsum,True,swish,0.0,mean,sgd,0.001,199,0.1703,0.0112,133925.0,0.0153,0.0011,0.9575,0.0023,,,,,,,,
act,nx,scalefree,graph,True,node_pagerank,graph_path_len,32,1,2,3,skipconcat,True,prelu,0.3,add,sgd,0.001,99,0.7923,0.0642,134543.0,0.017,0.0022,0.6765,0.025,,,,,,,,
act,nx,scalefree,graph,True,node_pagerank,graph_path_len,32,1,2,3,skipconcat,True,relu,0.3,add,sgd,0.001,99,0.8044,0.0459,134542.0,0.0243,0.0085,0.6814,0.0289,,,,,,,,
act,nx,scalefree,graph,True,node_pagerank,graph_path_len,32,1,2,3,skipconcat,True,swish,0.3,add,sgd,0.001,99,0.7856,0.0584,134542.0,0.0164,0.002,0.6798,0.0389,,,,,,,,
act,nx,scalefree,graph,True,node_pagerank,graph_path_len,64,1,8,1,skipconcat,False,prelu,0.6,add,adam,0.01,199,0.5141,0.0479,137927.0,0.0232,0.0025,0.7402,0.0461,,,,,,,,
act,nx,scalefree,graph,True,node_pagerank,graph_path_len,64,1,8,1,skipconcat,False,relu,0.6,add,adam,0.01,199,0.5261,0.0255,137926.0,0.0274,0.0017,0.7435,0.0162,,,,,,,,
act,nx,scalefree,graph,True,node_pagerank,graph_path_len,64,1,8,1,skipconcat,False,swish,0.6,add,adam,0.01,199,0.5308,0.0305,137926.0,0.0644,0.0042,0.7549,0.0318,,,,,,,,
act,nx,scalefree,graph,True,node_pagerank,graph_path_len,64,2,2,2,skipsum,True,prelu,0.6,max,adam,0.001,399,0.6742,0.0426,134286.0,0.0233,0.0005,0.6912,0.0208,,,,,,,,
act,nx,scalefree,graph,True,node_pagerank,graph_path_len,64,2,2,2,skipsum,True,relu,0.6,max,adam,0.001,399,0.7327,0.0444,134285.0,0.0216,0.0018,0.6945,0.0189,,,,,,,,
